;Date;zone;Energy Demand;Maximum Demand;ENS;Timestamp;longitud;latitud;ENS_;('Regression',);('Classification',)
60;2008/03/01;Antioquia;26952494.95;7812000;0;1204329600;-75.52001953;6.817352823;0;0;0
61;2008/03/02;Antioquia;23328780.57;7279000;0;1204416000;-75.52001953;6.817352823;0;0;0
62;2008/03/03;Antioquia;28764599.03;8400000;0;1204502400;-75.52001953;6.817352823;0;0;0
63;2008/03/04;Antioquia;29018164.05;8337000;0;1204588800;-75.52001953;6.817352823;0;0;0
64;2008/03/05;Antioquia;28610648.25;8397000;0;1204675200;-75.52001953;6.817352823;0;0.408;0
65;2008/03/06;Antioquia;28603308.88;8271000;0;1204761600;-75.52001953;6.817352823;0;0;0
66;2008/03/07;Antioquia;28501479.85;8284000;0;1204848000;-75.52001953;6.817352823;0;0;0
67;2008/03/08;Antioquia;26967724.55;7744000;0;1204934400;-75.52001953;6.817352823;0;0;0
68;2008/03/09;Antioquia;23361527.06;7279000;0;1205020800;-75.52001953;6.817352823;0;0;0
69;2008/03/10;Antioquia;28151880.14;8312000;0;1205107200;-75.52001953;6.817352823;0;0;0.1
70;2008/03/11;Antioquia;28911547.08;8312000;0;1205193600;-75.52001953;6.817352823;0;0;0
71;2008/03/12;Antioquia;28911351.43;8352000;0;1205280000;-75.52001953;6.817352823;0;0;0
72;2008/03/13;Antioquia;29065051.03;8303000;0;1205366400;-75.52001953;6.817352823;0;0;0
73;2008/03/14;Antioquia;28696552.82;8092000;0;1205452800;-75.52001953;6.817352823;0;0;0
74;2008/03/15;Antioquia;26930451.76;7790000;0;1205539200;-75.52001953;6.817352823;0;0;0
75;2008/03/16;Antioquia;23532846.59;7276000;0;1205625600;-75.52001953;6.817352823;0;0;0
76;2008/03/17;Antioquia;27865839.89;8167000;0;1205712000;-75.52001953;6.817352823;0;0;0.1
77;2008/03/18;Antioquia;28302387.74;8093000;0;1205798400;-75.52001953;6.817352823;0;0;0
78;2008/03/19;Antioquia;27720636.05;7874000;0;1205884800;-75.52001953;6.817352823;0;0;0
79;2008/03/20;Antioquia;22465747.94;6716000;0;1205971200;-75.52001953;6.817352823;0;14.388;0
80;2008/03/21;Antioquia;20830575.52;6373000;0;1206057600;-75.52001953;6.817352823;0;0;0
81;2008/03/22;Antioquia;23534840.92;7141000;0;1206144000;-75.52001953;6.817352823;0;0;0
82;2008/03/23;Antioquia;22353775.56;6896000;0;1206230400;-75.52001953;6.817352823;0;0;0
83;2008/03/24;Antioquia;22876758.74;7477000;0;1206316800;-75.52001953;6.817352823;0;0;0
84;2008/03/25;Antioquia;28457856.27;8362000;0;1206403200;-75.52001953;6.817352823;0;0;0
85;2008/03/26;Antioquia;29314768.75;8529000;0;1206489600;-75.52001953;6.817352823;0;0;0
86;2008/03/27;Antioquia;29485965.5;8474000;0;1206576000;-75.52001953;6.817352823;0;0;0
87;2008/03/28;Antioquia;29479238.61;8384000;0;1206662400;-75.52001953;6.817352823;0;2.375;0
88;2008/03/29;Antioquia;27664486.6;7865000;0;1206748800;-75.52001953;6.817352823;0;0;0
89;2008/03/30;Antioquia;23706200.54;7252000;48;1206835200;-75.52001953;6.817352823;1;24;0.6
90;2008/03/31;Antioquia;28575127.99;8342000;2.52;1206921600;-75.52001953;6.817352823;1;1.764;0.6
91;2008/04/01;Antioquia;28776066.39;8284000;0;1207008000;-75.52001953;6.817352823;0;0;0
92;2008/04/02;Antioquia;28814439.74;8409000;0;1207094400;-75.52001953;6.817352823;0;0;0
93;2008/04/03;Antioquia;29027519.22;8320000;0;1207180800;-75.52001953;6.817352823;0;0;0
